ID,Brand,Model,Price_INR,Launch_Year,OS,Processor,GPU,RAM_GB,Storage_GB,Expandable_Storage,Display_Size_Inches,Display_Type,Resolution,Refresh_Rate_Hz,Battery_mAh,Fast_Charging_Watts,Wireless_Charging,Primary_Camera_MP,UltraWide_Camera_MP,Telephoto_Camera_MP,Front_Camera_MP,Video_Recording,5G_Support,Dual_SIM,Bluetooth_Version,WiFi_Version,NFC,Fingerprint_Type,Build_Type,Weight_grams,IP_Rating
1,Xiaomi,Xiaomi Pro 1,56021,2020,Android 13,Snapdragon 8 Gen 1,Xclipse 920,16,256,Yes,6.4,OLED,1080x2400,60,5500,18,No,200,50,8,50,4K@60fps,No,Yes,5,WiFi 6,No,Rear-mounted,Metal Frame Glass Back,167,IP67
2,Nothing,Nothing Pro 2,29410,2022,iOS 17,Snapdragon 7 Gen 1,Xclipse 920,6,128,No,6.1,Super AMOLED,1440x3200,60,4000,45,Yes,48,16,8,50,8K@24fps,No,Yes,5.1,WiFi 6E,Yes,In-display,Glass Front/Back,197,IP53
3,OnePlus,OnePlus Pro 3,87684,2023,iOS 16,Dimensity 920,Xclipse 920,12,512,No,6.5,AMOLED,1440x3200,144,5500,45,Yes,48,12,32,16,1080p@60fps,Yes,Yes,5.3,WiFi 6E,No,In-display,Glass Front/Back,216,No Rating
4,Samsung,Samsung Pro 4,100283,2023,iOS 17,A16 Bionic,Apple GPU,8,64,No,6.4,OLED,1440x3200,90,4500,33,No,108,12,8,32,1080p@60fps,No,No,5.3,WiFi 6E,No,In-display,"Glass Front, Plastic Back",172,No Rating
5,Realme,Realme Pro 5,73723,2025,Android 14,Dimensity 8200,Xclipse 920,8,1024,No,6.7,OLED,1080x2400,120,4000,80,No,200,16,8,50,4K@60fps,No,Yes,5.3,WiFi 6,Yes,Side-mounted,Metal Frame Glass Back,204,No Rating
6,Oppo,Oppo Pro 6,104199,2025,Android 13,Snapdragon 8 Gen 1,Mali-G710,8,512,No,6.4,OLED,720x1600,120,4500,120,No,48,12,8,8,8K@24fps,Yes,No,5.2,WiFi 6E,Yes,Rear-mounted,Metal Frame Glass Back,212,No Rating
7,Nokia,Nokia Pro 7,113514,2026,Android 13,A16 Bionic,Adreno 730,12,512,No,6.4,IPS LCD,1080x2400,120,4000,80,No,200,8,12,16,8K@24fps,No,Yes,5,WiFi 5,No,Side-mounted,Metal Frame Glass Back,222,IP53
8,Oppo,Oppo Pro 8,83229,2024,Android 13,Snapdragon 8 Gen 1,Mali-G710,6,64,Yes,6.7,OLED,720x1600,90,5000,18,Yes,48,12,8,16,1080p@60fps,No,Yes,5.2,WiFi 6E,No,Side-mounted,Glass Front/Back,210,IP68
9,Nokia,Nokia Pro 9,149077,2024,iOS 17,Dimensity 8200,Adreno 730,12,128,No,6.4,LTPO AMOLED,1080x2400,60,5000,65,Yes,200,12,12,16,4K@60fps,Yes,No,5,WiFi 5,No,Rear-mounted,Metal Frame Glass Back,190,No Rating
10,Vivo,Vivo Pro 10,80526,2025,Android 14,Dimensity 8200,Xclipse 920,16,128,Yes,6.1,Super AMOLED,720x1600,144,4000,25,No,50,16,12,8,4K@30fps,No,No,5.1,WiFi 6E,No,Rear-mounted,Metal Frame Glass Back,161,IP52
